Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Abner,BRA,DF,Juventude,20,2004,14.6,5,0.34,5,0,0,0,0,0,1,0.07,1,0,0,0,0,0
Nicolás Acevedo,URU,MF,Bahia,25,1999,18.8,50,2.66,41,1,1,5,0,2,7,0.37,7,0,0,0,0,0
Luciano Acosta,ARG,MF,Fluminense,30,1994,13.3,54,4.05,46,0,4,2,1,1,4,0.3,4,0,0,0,0,0
Adriel,BRA,MF,Sport Recife,18,2006,1.6,2,1.22,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adson,BRA,"FW,MF",Vasco da Gama,24,2000,2.3,10,4.29,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Braian Aguirre,ARG,DF,Internacional,24,2000,26.5,47,1.77,35,3,2,1,2,4,5,0.19,3,0,0,0,1,1
Carlos Alberto,BRA,"FW,MF",Sport Recife,22,2002,3.7,9,2.45,8,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Yuri Alberto,BRA,FW,Corinthians,23,2001,22.3,52,2.33,27,1,5,11,7,1,7,0.31,2,0,2,2,1,0
José Aldo,BRA,MF,Mirassol,26,1998,15.2,54,3.55,45,2,3,2,0,2,5,0.33,3,1,0,1,0,0
Alesson,BRA,FW,Mirassol,25,1999,16.2,47,2.91,40,0,3,4,0,0,5,0.31,4,0,1,0,0,0
Caio Alexandre,BRA,MF,Bahia,25,1999,14.5,31,2.14,29,1,0,0,1,0,2,0.14,2,0,0,0,0,0
Matheus Alexandre,BRA,DF,Sport Recife,25,1999,19.8,26,1.32,17,3,0,2,1,3,5,0.25,2,1,0,1,1,0
Alexsander,BRA,MF,Atlético Mineiro,21,2003,9.2,23,2.5,18,1,2,0,2,0,1,0.11,1,0,0,0,0,0
Alisson,BRA,MF,São Paulo,31,1993,21.8,47,2.16,39,1,0,5,1,1,1,0.05,1,0,0,0,0,0
Allan,BRA,"MF,FW",Palmeiras,20,2004,10.2,41,4.01,22,1,8,5,2,3,5,0.49,5,0,0,0,0,0
Allan,BRA,MF,Botafogo (RJ),34,1991,10.7,21,1.96,20,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Allan,BRA,MF,Flamengo,27,1997,7.6,14,1.84,14,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Allanzinho,BRA,"MF,FW",Fortaleza,24,2000,3.2,17,5.33,11,1,0,0,5,0,3,0.94,3,0,0,0,0,0
Júnior Alonso,PAR,DF,Atlético Mineiro,31,1993,29.0,28,0.97,25,2,0,1,0,0,2,0.07,2,0,0,0,0,0
Dyogo Alves,BRA,GK,Flamengo,21,2004,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matheus Alves,BRA,"MF,FW",São Paulo,19,2005,4.1,11,2.67,7,0,2,2,0,0,1,0.24,1,0,0,0,0,0
Francis Amuzu,BEL,"FW,MF",Grêmio,25,1999,12.7,48,3.77,32,0,5,9,2,0,4,0.31,3,0,0,1,0,0
Felipe Anderson,BRA,"MF,FW",Palmeiras,31,1993,19.7,79,4.01,56,2,6,8,3,4,9,0.46,4,0,0,4,0,1
Kervin Andrade,VEN,"FW,MF",Fortaleza,19,2005,1.8,5,2.76,1,0,2,2,0,0,1,0.55,1,0,0,0,0,0
André,BRA,MF,Corinthians,18,2006,3.5,5,1.43,3,0,0,1,1,0,1,0.29,1,0,0,0,0,0
José Andrés Martínez,VEN,MF,Corinthians,30,1994,15.5,26,1.68,22,0,1,1,0,2,1,0.06,1,0,0,0,0,0
Wilker Ángel,VEN,DF,Juventude,31,1993,15.8,5,0.32,3,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Fabrizio Angileri,ARG,DF,Corinthians,30,1994,18.2,29,1.59,27,2,0,0,0,0,3,0.16,3,0,0,0,0,0
Anthoni,BRA,GK,Internacional,23,2002,17.0,2,0.12,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marcos Antônio,BRA,MF,São Paulo,24,2000,21.1,57,2.7,55,0,0,0,1,1,7,0.33,7,0,0,0,0,0
Léo Aragão,BRA,GK,Cruzeiro,22,2002,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Guilherme Arana,BRA,DF,Atlético Mineiro,27,1997,19.4,48,2.47,36,3,0,8,1,0,3,0.15,3,0,0,0,0,0
Willian Arão,BRA,MF,Santos,32,1992,8.7,10,1.16,9,0,0,0,0,1,2,0.23,2,0,0,0,0,0
Luiz Araújo,BRA,"FW,MF",Flamengo,28,1996,19.6,77,3.93,47,21,2,6,1,0,6,0.31,4,1,0,1,0,0
Matheus Araújo,BRA,"MF,FW",Ceará,22,2002,3.0,8,2.67,4,2,0,1,1,0,1,0.33,1,0,0,0,0,0
Michel Araujo,URU,"MF,FW",Bahia,28,1996,9.5,29,3.06,23,2,2,1,1,0,3,0.32,3,0,0,0,0,0
Alexander Aravena,CHI,"FW,MF",Grêmio,22,2002,6.5,14,2.17,12,0,0,2,0,0,2,0.31,2,0,0,0,0,0
Robert Arboleda,ECU,DF,São Paulo,33,1991,22.9,7,0.31,5,0,0,0,1,1,1,0.04,0,0,0,0,1,0
Lucas Arcanjo,BRA,GK,Vitória,26,1998,28.3,11,0.39,7,4,0,0,0,0,0,0.0,0,0,0,0,0,0
Matias Arezo,URU,FW,Grêmio,22,2002,3.0,8,2.69,8,0,0,0,0,0,2,0.67,2,0,0,0,0,0
Jhon Arias,COL,FW,Fluminense,27,1997,12.0,68,5.67,44,13,5,1,4,1,8,0.67,6,0,2,0,0,0
Santiago Arias,COL,DF,Bahia,33,1992,15.8,33,2.09,28,0,0,2,3,0,1,0.06,1,0,0,0,0,0
Keny Arroyo,ECU,FW,Cruzeiro,18,2006,7.2,26,3.62,18,1,1,1,5,0,3,0.42,2,0,0,1,0,0
Arthur,BRA,FW,Sport Recife,21,2003,2.2,9,4.05,7,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Artur,BRA,"FW,MF",Botafogo (RJ),26,1998,21.3,88,4.13,73,4,3,5,3,0,10,0.47,8,0,1,1,0,0
Rodrigo Atencio,ARG,"MF,FW",Sport Recife,22,2002,6.0,38,6.28,20,9,5,4,0,0,0,0.0,0,0,0,0,0,0
Loide Augusto,ANG,"FW,MF",Vasco da Gama,24,2000,2.1,6,2.81,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Leo Augusto Pereira,BRA,"FW,MF",Vitória,24,2000,1.8,5,2.73,2,1,0,1,1,0,0,0.0,0,0,0,0,0,0
