Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Emiliano Martínez,URU,"MF,DF",Palmeiras,25,1999,16.8,1,16,8,50.0,0.95,0.47,0.06,0.13,20.6,0,0,0,0.8,0.8,0.05,0.2,0.2
Adriano Martins,BRA,DF,Juventude,27,1997,4.0,0,3,0,0.0,0.75,0.0,0.0,,9.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Andre Martins,BRA,FW,Grêmio,23,2001,8.8,5,34,15,44.1,3.86,1.7,0.15,0.33,14.3,0,0,0,4.0,4.0,0.12,1.0,1.0
Matheus Martins,BRA,"FW,MF",Botafogo (RJ),21,2003,7.3,1,17,8,47.1,2.34,1.1,0.06,0.13,16.1,0,0,0,1.5,1.5,0.09,-0.5,-0.5
Gustavo Martins Santos,BRA,DF,Grêmio,22,2002,14.7,2,17,9,52.9,1.16,0.61,0.12,0.22,12.0,0,0,0,1.4,1.4,0.08,0.6,0.6
Gonzalo Mastriani,URU,FW,Botafogo (RJ),31,1993,3.2,1,9,3,33.3,2.81,0.94,0.11,0.33,11.5,0,0,0,1.7,1.7,0.18,-0.7,-0.7
Matheusinho,BRA,"MF,FW",Vitória,27,1997,19.6,4,29,15,51.7,1.48,0.76,0.07,0.13,20.1,0,2,2,4.9,3.3,0.12,-0.9,-1.3
Matheusinho,BRA,"FW,MF",Sport Recife,26,1998,18.4,2,27,6,22.2,1.47,0.33,0.07,0.33,19.3,1,0,0,2.7,2.7,0.1,-0.7,-0.7
Matheuzinho,BRA,DF,Corinthians,24,2000,29.2,2,22,5,22.7,0.75,0.17,0.09,0.4,24.3,5,0,0,1.2,1.2,0.06,0.8,0.8
Ricardo Mathias,BRA,FW,Internacional,18,2006,9.0,5,25,13,52.0,2.78,1.45,0.2,0.38,12.9,0,0,0,4.9,4.9,0.2,0.1,0.1
Guillermo Matías Fernández,ARG,MF,Fortaleza,33,1991,3.2,0,3,1,33.3,0.94,0.31,0.0,0.0,20.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4
